Country,State,Year,Sector,"Number Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:Number), Scaling Factor:1","Percentage Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Identified Amongst Screened (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Identified Amongst Screened (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:%(Percentage)), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Mellitus (Dm) Patients Linked To Diabetic Treatment (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Comorbid Patients (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients Notified (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients With Glucose Know Blood Status (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2024",Public,459,80.7,55,12,13,23.6,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2024",Private,4,30.8,0,0,,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2024",Public,60433,95.3,8363,13.8,2181,26.1,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2024",Private,25556,96.5,1300,5.1,247,19,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2024",Public,1900,67.7,228,12,88,38.6,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2024",Private,8,53.3,0,0,,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2024",Public,34886,79.2,8264,23.7,1514,18.3,,,,
India,Assam,"Calendar Year (Jan - Dec), 2024",Private,6202,78.7,519,8.4,166,32,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2024",Public,48035,52.3,4109,8.6,845,20.6,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2024",Private,42852,43.1,1091,2.5,49,4.5,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2024",Public,3469,84.5,247,7.1,42,17,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2024",Private,94,68.1,5,5.3,1,20,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2024",Public,24160,84.6,7498,31,3419,45.6,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2024",Private,6172,59.1,394,6.4,132,33.5,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2024",Public,51637,66.8,3629,7,970,26.7,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2024",Private,1675,14.3,11,0.7,1,9.1,,,,
India,Goa,"Calendar Year (Jan - Dec), 2024",Public,1493,86.7,160,10.7,29,18.1,,,,
India,Goa,"Calendar Year (Jan - Dec), 2024",Private,162,52.1,0,0,,,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2024",Public,96434,94.9,15793,16.4,5932,37.6,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2024",Private,36561,93.8,2783,7.6,1076,38.7,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2024",Public,59245,92.4,2420,4.1,962,39.8,,,,
